rew	sig1	sig2	sig3	planta
0.0980425727	0.4347541274	-0.5013999105	-0.0624583514	341
1.8671273396	0.1402346526	-0.2612350497	0.6526333065	341
-0.2335462886	0.8905426651	-0.5734756162	0.2947062617	341
0.8598088869	-0.0281272912	0.4456633144	-0.4749339214	342
-0.1866403598	-0.0295066438	0.4623567408	0.2113239544	342
NA	0.0175752639	0.5892897754	-0.542859658	342
0.4609749452	-0.0802668258	1.0996991615	1.0903384358	342
-0.0368657888	0.200661355	0.2058134239	0.6164524549	342
0.2363407919	0.4025066433	0.2603557824	-0.5827833563	342
1.449794288	0.1453033304	0.2789390307	-0.232064757	342
0.6409957893	0.3296768173	0.1526359367	-0.7441416368	342
-0.9467312845	-0.1907989614	0.4725932758	-0.8027795686	342
-1.0798052516	-0.1626601645	-0.0794971812	-0.4010473548	342
-1.324940789	-0.4265503673	0.1202989849	-0.0542795382	343
0.0704780111	-0.8171599137	0.5915995577	0.2478513658	343
0.3520278502	0.0535597141	1.3105717836	0.6747438269	343
0.6296050991	-0.0594623089	1.794786139	1.4992097831	343
0.4713185054	-0.5052666822	1.5129402073	0.6588713843	343
0.1633061937	-0.2460208245	0.8595867958	0.3959017469	343
-0.9581450273	-0.8793177812	2.2679240385	0.1695981447	343
-1.8481075336	-1.0833688112	-0.0617013588	0.2870126323	343
-0.5276041392	-0.8860260755	0.2903829519	0.1952435759	343
-0.2817995202	-0.9812159238	0.6858806702	-0.214528827	343
-0.3688419859	-0.5558912942	-0.626233143	0.2012737178	344
-0.8466898077	-1.0560951981	-1.0068222667	0.7698398581	344
-0.8224442897	-0.5770013975	-0.4067513325	0.9654382548	344
0.2465290332	-0.1118402659	-0.5302721888	1.5875132407	344
0.6901477144	-0.0805973127	-0.691431997	1.5037843735	344
-0.3602480212	-0.1515272607	-1.0796853982	0.5793012357	344
-1.0018746069	-0.2816710486	-0.5126338515	0.0510053536	344
-0.0240951957	-0.3356073633	-1.4242104215	1.5975634773	344
-1.1524623143	-0.4273307636	-0.9070291737	0.5158114656	344
-1.2103622531	-0.6029668248	-0.974590305	1.1791963892	344
1.1362965787	-0.1928841619	0.4093892338	-1.4759374809	345
1.6587756624	0.2346095634	1.2902037036	-1.0709476043	345
1.2056531977	-0.3017362292	0.2694374264	-0.4560810639	345
0.0964155915	-1.3307352002	-0.8174726158	-0.7708267476	345
0.9170805529	-0.4820360169	0.3458702214	-0.3151005044	345
-1.4240689519	-1.4476102286	-1.4098267774	-1.8370528766	345
0.5214888456	-0.3919403323	-0.4707428004	-0.8869243076	345
0.9855207653	-0.7967746133	-0.6943192249	-0.9917933275	345
-1.0712255847	-1.4254928762	-1.0222558118	-1.5171781067	345
1.2132882238	-1.5401995367	-0.1265852425	-1.217126562	345

